stylistic_analysis.sentence_rhythm.average_change,readability_metrics.dale_chall_readability_score,readability_metrics.smog_index,readability_metrics.difficult_words,readability_metrics.coleman_liau_index,readability_metrics.automated_readability_index,stylistic_analysis.sentence_rhythm.average_sentence_length,readability_metrics.flesch_kincaid_grade,stylistic_analysis.rhetorical_devices.variety,stylistic_analysis.linguistic_metrics.num_subordinate_clauses,readability_metrics.gunning_fog,stylistic_analysis.semantic_density.entropy
3.6666666666666665,10.02,13.4,17,12.36,14.3,25.5,9.7,3,2,12.56,3.9199981187130666
2.75,8.82,9.4,10,9.28,9.0,17.8,5.9,2,5,7.84,3.818492467590592
4.4,8.8,10.6,16,11.07,9.7,18.333333333333332,6.2,4,5,7.97,3.9717029398870394
4.0,10.46,10.4,19,11.84,12.9,23.2,8.5,5,7,9.82,4.138674596570033
5.0,10.13,10.7,13,10.27,12.4,25.0,7.9,5,6,10.78,3.913670955499942
5.9743589743589745,6.73,8.9,25,7.16,5.3,8.55,3.3,0,16,5.21,4.668260078556026
4.865384615384615,6.75,8.8,28,7.62,5.6,7.773584905660377,4.2,6,18,4.68,4.748267439079724
7.15625,6.81,9.6,26,7.98,6.7,11.333333333333334,4.3,8,17,6.07,4.616229619514077
8.03125,6.61,8.6,19,6.36,5.0,11.454545454545455,2.9,6,21,5.53,4.611739078144213
8.041666666666666,6.32,9.2,31,6.71,5.2,9.448979591836734,4.0,6,27,5.38,4.539207674054751
7.2682926829268295,8.15,8.9,66,7.75,6.2,11.214285714285714,5.3,9,22,6.76,4.942217378005303
8.072463768115941,7.77,8.7,85,7.64,6.2,11.67142857142857,4.0,9,38,6.34,5.325805444181574
6.592105263157895,6.54,8.3,115,5.77,4.2,9.437908496732026,3.6,12,75,5.53,5.2717405392741545
8.380952380952381,8.14,9.2,56,7.47,6.3,12.232558139534884,4.6,9,32,6.93,5.117049790817039
8.666666666666666,7.73,8.7,82,7.17,6.0,12.189655172413794,4.3,11,44,6.06,5.111429255889218
12.24,8.38,10.6,42,10.5,10.4,16.576923076923077,7.4,7,34,8.37,4.903925574830659
13.0,7.99,10.4,42,9.28,9.2,17.583333333333332,6.1,6,26,8.5,4.944685049370483
13.578947368421053,9.27,11.9,50,11.37,11.8,16.3,8.1,4,21,10.42,4.812413167318885
15.631578947368421,9.02,10.6,50,10.04,11.7,19.2,7.7,7,27,9.84,4.905911798804321
10.5,7.95,9.1,46,9.16,8.3,13.151515151515152,5.3,8,30,6.98,4.917036427394299
15.666666666666666,9.64,12.1,154,11.55,14.0,23.85,9.9,12,64,12.08,5.389635005426921
22.755555555555556,8.33,11.3,123,9.12,12.5,24.608695652173914,9.2,13,70,11.45,5.100726907501512
15.173913043478262,9.35,11.7,155,10.73,12.6,22.04255319148936,9.1,11,84,11.12,5.4225354162486505
16.17391304347826,9.21,11.8,152,11.02,13.0,21.5531914893617,9.2,11,62,10.97,5.39623742940092
12.774193548387096,9.56,9.9,160,10.2,9.7,15.714285714285714,6.7,11,51,8.54,5.510036381259325
9.8,10.69,11.3,48,13.16,11.5,13.476190476190476,7.4,9,17,9.05,4.808181339248581
15.8,9.46,11.2,46,10.38,10.5,20.1875,7.5,10,30,9.55,4.887024962931807
15.608695652173912,8.99,9.7,48,9.39,9.2,14.875,6.0,7,19,8.01,4.842664511846738
13.125,9.88,10.2,43,11.3,9.8,13.0,6.2,7,14,7.33,4.826448170977056
13.565217391304348,10.24,10.9,64,12.06,11.4,14.25,8.3,12,23,9.27,4.987380317571291
9.466666666666667,6.2,6.8,43,4.27,3.6,12.289473684210526,2.5,10,63,4.74,5.285260117801506
11.142857142857142,8.61,8.8,18,8.86,7.4,12.625,5.8,8,5,7.72,4.084483542418925
21.5,7.47,10.7,53,9.35,13.1,22.0,9.2,6,40,10.68,5.030691925390743
6.48,7.56,8.8,25,8.57,7.2,13.153846153846153,4.4,8,27,6.05,4.679720156797587
11.0,9.43,12.5,12,11.02,12.5,18.5,8.6,3,7,12.63,3.767800185706155
13.714285714285714,7.92,9.4,50,9.39,9.5,20.818181818181817,6.2,7,44,7.91,4.810866941068529
13.666666666666666,8.12,8.5,37,7.3,6.6,19.5625,5.1,6,21,7.52,4.701182693379466
19.434782608695652,8.16,10.0,51,8.93,10.0,19.625,6.8,9,39,9.22,4.753619769453783
13.85,7.25,9.5,26,8.64,8.7,17.428571428571427,6.0,8,33,7.68,4.682772368343426
14.863636363636363,7.18,8.5,30,7.41,6.4,15.869565217391305,4.5,4,44,5.93,4.7034044658518255
10.620689655172415,7.34,7.2,80,6.43,6.1,15.610169491525424,4.2,9,81,6.9,5.29295521293138
9.08108108108108,8.41,9.0,140,8.22,7.1,11.008928571428571,4.3,12,74,6.56,5.791749241120657
11.160493827160494,7.23,7.8,86,5.9,5.2,11.853658536585366,3.6,9,65,6.41,5.511495031565605
9.647619047619047,8.41,8.2,169,8.45,7.5,13.216981132075471,4.8,19,70,6.89,5.863863682416605
9.52112676056338,7.61,8.4,70,7.87,6.3,11.36111111111111,4.2,11,61,6.0,5.478279459251928
10.944444444444445,8.15,10.9,41,9.68,10.2,20.157894736842106,7.5,6,25,8.33,4.7924062032991745
13.058823529411764,8.14,11.4,34,9.86,10.7,16.666666666666668,8.0,5,23,9.13,4.724116596067523
14.2,7.87,10.0,32,9.1,10.1,21.5625,6.8,5,22,8.31,4.702473776227895
10.357142857142858,8.3,10.6,33,9.34,9.2,16.4,7.2,3,16,8.71,4.577437318631104
9.787878787878787,7.99,10.4,66,9.51,9.2,15.647058823529411,7.1,9,47,8.04,4.943578263196163
12.564102564102564,9.53,11.0,108,11.66,12.4,17.8,8.4,7,72,10.29,5.518444502304362
14.272727272727273,10.25,9.5,71,11.19,11.3,19.304347826086957,7.8,9,29,9.49,5.498695657866694
14.4,9.03,12.1,105,11.43,13.0,19.63888888888889,9.0,7,61,11.3,5.394152797667462
13.75,8.49,10.0,40,9.28,9.4,15.6,6.2,7,22,8.55,4.992498592974679
12.32,9.59,9.1,46,11.01,9.9,13.115384615384615,5.3,7,25,7.54,5.041867195919365
15.1875,8.03,9.4,43,8.65,11.2,20.823529411764707,8.3,8,21,10.46,4.618510832475595
6.9,6.87,9.0,50,7.46,6.1,12.215686274509803,4.2,10,42,6.29,5.13280939402029
15.352941176470589,8.16,9.5,34,8.53,9.8,16.055555555555557,7.4,7,28,9.7,4.56484409915404
8.705882352941176,8.04,8.8,37,8.8,7.6,15.944444444444445,4.7,6,26,6.6,4.619207517808288
19.5,8.33,10.0,18,7.61,16.0,33.666666666666664,11.6,6,10,14.39,4.455271804603061
18.166666666666668,7.03,9.3,35,6.95,7.0,19.0,5.6,6,36,7.08,4.739070504380947
15.076923076923077,7.77,9.2,54,7.19,7.5,18.666666666666668,6.0,6,37,8.09,4.9012481167169195
11.133333333333333,7.61,9.6,51,8.7,8.8,17.870967741935484,6.0,10,45,7.98,4.989420321454102
13.0,7.84,11.2,55,8.82,10.2,18.714285714285715,7.4,8,30,9.76,4.850538603654025
10.4,7.74,9.1,52,7.53,7.3,15.305555555555555,5.5,6,41,7.27,4.903067646209239
