,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
coherence_analysis.best_num_topics,-0.10252987660838941,-0.059157308062096584,-0.18412566086588456,0.6641682349331612,0.24012534274443398,0.48719852188515267,0.29051772511452983,-0.08909248498753478,0.22891162872274004,-0.0451182014725008,-0.13880820988962075
originality_analysis.log_likelihood,0.3567356563830269,0.25762135616365245,0.13578688010107795,0.15065257998519221,-0.23177083694766942,-0.024725654152592168,0.028624837756031547,-0.16849584519179875,0.05723924154434397,-0.04232652203541592,0.06593613730130793
stylistic_analysis.linguistic_metrics.lexical_diversity.MTLD,0.073316013096803,-0.08983200241325918,0.4938863491219762,-0.3283572577817882,-0.34465955241379526,0.6738831096610824,0.16788672535312635,0.03139188190896991,0.00503142267090356,-0.024869036376675317,0.06059499515719271
stylistic_analysis.linguistic_metrics.average_sentence_length,-0.31738775307250894,0.3307086330452363,0.13921282012296993,0.16970513198462267,-0.0043606189841110055,0.1280202006899797,0.05936262584109652,0.10821191439142523,-0.11558056064999596,0.06033583737943942,0.16370965987898423
stylistic_analysis.linguistic_metrics.dependency_variety,0.3623918696962725,0.24773387854106194,0.09112859451177772,0.03700510806915021,0.10477194718414383,-0.10453249690023347,-0.2076322850760251,0.19054180984808183,0.2163045012038759,-0.3573739223481054,0.0623914814337344
stylistic_analysis.linguistic_metrics.sentence_complexity_index,-0.18504282545220024,0.3244195197362067,0.2842261782435812,-0.16236048888681576,0.39607677589112955,-0.048006119694869245,0.034316876776409516,-0.10116009862736948,0.03314956561847548,0.6421418085702703,-0.1142486048131974
stylistic_analysis.linguistic_metrics.max_subordination_depth,0.1940131663384423,0.29476505153607946,0.14853565203723876,-0.18306887510333988,0.4184704110530066,-0.07934338318028526,0.5158679888801864,-0.2184842932028993,0.1093894399281219,-0.34534377897461505,0.11825672698800625
stylistic_analysis.rhetorical_devices.total_count,0.2638385197882112,0.29318988591438655,-0.02573168316127184,0.1502472360937219,-0.38990533700020313,-0.022964117563153266,-0.10398721972850102,-0.19889864074240624,0.36451463667379513,0.2739886477560164,-0.42269023661916605
stylistic_analysis.sentence_rhythm.std_dev_sentence_length,-0.00548953686711877,0.41819733572872086,-0.010218331290949395,-0.01056004483494568,0.23957698409859374,0.3294196525388282,-0.456493737269245,0.3931121706916597,-0.1796406629031995,-0.18239219698976694,-0.23716145155319612
sentiment_analysis.average_sentiment,-0.3089246066921046,0.026565199925857725,0.49301815021079237,0.18129333000099634,-0.03647462395715418,-0.21135766280849622,-0.2348379583463804,-0.3070692878616606,0.21594972528393494,-0.21713657469877623,0.013854772726588612
sentiment_analysis.sentiment_volatility,0.3151972333082982,0.017432146853573183,-0.3651737694586049,-0.28155896825515025,0.2203096239381886,0.2861190209363213,-0.19469472802452334,-0.3953285243325734,0.033789718128904245,0.17374409155323334,0.14866709081120724
sentiment_analysis.emotional_richness,0.35741223362338165,0.12360417992505106,0.0986827621800876,0.236828124059047,-0.10716273690634052,-0.17191106792110103,0.3695440696961217,0.3174594316999815,-0.418522404621961,0.22900193543940356,-0.019593446998002875
readability_metrics.flesch_reading_ease,0.2560846288525321,-0.2935704402083917,0.2247902660868684,0.15579706491784748,0.22257901891142742,0.0024579673028618373,-0.16141752758783962,0.3782403322187077,0.4458849513703811,0.29729251295177117,0.4227159173925383
readability_metrics.linsear_write_formula,-0.15736407202214128,0.3961303586836044,-0.2271596846404708,0.1343558466926217,-0.2742772060858003,0.055413072491910596,-0.07215283794215051,-0.10653404552595809,-0.0487774545536836,0.07524333911693808,0.6886143682356409
readability_metrics.text_standard,-0.2653231011788085,0.19735085005916528,-0.2900830264757021,-0.32416240675315117,-0.17691277302053757,-0.06148774442027067,0.3042734836546095,0.39601981906554623,0.530862527984516,-0.02076304418231511,-0.06718005193244794
